food_id,food_name,meal_category,calories,protein_g,carbs_g,fats_g,diet_type,goal
68,Tofu,Dinner,487,25,18,21,Veg,Muscle Gain
69,Oats,Snack,556,11,77,30,Non-Veg,Weight Loss
70,Chicken Breast,Snack,162,44,66,20,Non-Veg,Maintenance
71,Egg,Lunch,514,36,42,14,Non-Veg,Maintenance
72,Almonds,Lunch,644,32,13,25,Vegan,Weight Loss
73,Quinoa,Lunch,439,22,24,5,Vegan,Maintenance
74,Salmon,Snack,544,35,65,13,Veg,Maintenance
75,White Rice,Dinner,318,50,60,24,Vegan,Muscle Gain
76,Banana,Snack,531,35,65,20,Veg,Muscle Gain
77,White Rice,Lunch,262,7,82,25,Non-Veg,Muscle Gain
78,Chicken Breast,Lunch,618,5,63,18,Veg,Muscle Gain
79,Apple,Breakfast,495,47,43,9,Veg,Muscle Gain
80,Broccoli,Snack,450,41,63,31,Veg,Muscle Gain
81,Dal,Dinner,173,38,29,22,Veg,Muscle Gain
82,Broccoli,Snack,531,13,35,3,Non-Veg,Weight Loss
83,Salmon,Lunch,560,5,13,33,Non-Veg,Muscle Gain
84,Brown Rice,Snack,519,47,54,13,Vegan,Maintenance
85,White Rice,Snack,587,44,56,32,Vegan,Weight Loss
86,Dal,Snack,515,27,56,9,Veg,Weight Loss
87,Salmon,Breakfast,263,20,23,29,Non-Veg,Muscle Gain
88,Salmon,Lunch,527,17,42,26,Vegan,Maintenance
89,Oats,Dinner,626,33,33,20,Vegan,Maintenance
90,Chicken Breast,Snack,233,29,76,31,Veg,Weight Loss
91,Chicken Breast,Lunch,550,43,14,3,Non-Veg,Muscle Gain
92,White Rice,Lunch,205,42,80,6,Veg,Maintenance
93,Greek Yogurt,Breakfast,110,7,11,31,Vegan,Muscle Gain
94,Chapati,Snack,425,35,54,25,Non-Veg,Weight Loss
95,Peanut Butter,Dinner,133,5,62,16,Veg,Weight Loss
96,Chicken Breast,Lunch,501,25,39,19,Non-Veg,Weight Loss
97,Banana,Snack,199,41,52,29,Veg,Muscle Gain
98,Chicken Breast,Dinner,480,31,88,10,Non-Veg,Muscle Gain
99,Boiled Chickpeas,Breakfast,612,8,86,9,Vegan,Muscle Gain
100,Quinoa,Dinner,469,12,63,13,Vegan,Muscle Gain
101,Oats,Dinner,354,9,66,27,Non-Veg,Maintenance
102,Paneer,Lunch,167,26,49,29,Veg,Muscle Gain
103,Peanut Butter,Breakfast,252,42,44,14,Veg,Muscle Gain
104,Tofu,Breakfast,335,46,66,10,Vegan,Muscle Gain
105,Chapati,Snack,106,12,34,34,Non-Veg,Muscle Gain
106,Greek Yogurt,Lunch,188,36,15,27,Veg,Weight Loss
107,Milk,Dinner,444,30,64,14,Non-Veg,Weight Loss
108,Tofu,Lunch,143,40,68,3,Veg,Maintenance
109,Dal,Lunch,215,26,24,11,Non-Veg,Maintenance
110,Brown Rice,Breakfast,317,45,27,17,Non-Veg,Muscle Gain
111,Apple,Lunch,127,33,74,5,Non-Veg,Muscle Gain
112,Peanut Butter,Breakfast,86,12,70,12,Veg,Maintenance
113,Quinoa,Breakfast,303,28,20,4,Veg,Muscle Gain
114,Boiled Chickpeas,Dinner,521,22,44,25,Vegan,Weight Loss
115,Boiled Chickpeas,Breakfast,147,40,73,6,Vegan,Muscle Gain
116,White Rice,Lunch,633,42,31,16,Non-Veg,Muscle Gain
117,Oats,Lunch,393,48,52,13,Non-Veg,Maintenance
118,Chapati,Dinner,344,17,59,19,Veg,Maintenance
119,Apple,Breakfast,564,48,27,2,Non-Veg,Maintenance
120,Chapati,Breakfast,578,26,16,34,Veg,Maintenance
121,Almonds,Snack,261,26,14,24,Vegan,Muscle Gain
122,Salmon,Snack,347,20,54,13,Veg,Maintenance
123,Greek Yogurt,Snack,299,31,11,21,Non-Veg,Muscle Gain
124,White Rice,Lunch,543,22,20,22,Non-Veg,Muscle Gain
125,Salmon,Dinner,391,11,32,14,Veg,Muscle Gain
126,Broccoli,Dinner,421,22,17,29,Veg,Muscle Gain
127,Brown Rice,Breakfast,361,45,84,27,Non-Veg,Muscle Gain
128,Broccoli,Dinner,596,48,77,13,Veg,Weight Loss
129,Sweet Potato,Lunch,476,44,55,2,Vegan,Muscle Gain
130,Brown Rice,Dinner,342,9,75,21,Non-Veg,Maintenance
131,Dal,Snack,215,22,33,24,Veg,Muscle Gain
132,Salmon,Breakfast,97,36,23,4,Vegan,Muscle Gain
133,White Rice,Dinner,609,48,49,33,Non-Veg,Muscle Gain
134,Almonds,Breakfast,420,10,35,26,Veg,Maintenance
135,Peanut Butter,Snack,86,17,35,2,Veg,Weight Loss
136,Apple,Dinner,282,22,28,18,Veg,Maintenance
137,Dal,Snack,456,9,80,26,Vegan,Weight Loss
138,Brown Rice,Dinner,90,50,19,7,Non-Veg,Weight Loss
139,Oats,Lunch,293,28,20,28,Non-Veg,Weight Loss
140,Brown Rice,Dinner,499,30,34,35,Non-Veg,Muscle Gain
141,Milk,Dinner,126,25,86,18,Vegan,Muscle Gain
142,Peanut Butter,Breakfast,151,33,19,34,Non-Veg,Weight Loss
143,Boiled Chickpeas,Dinner,106,21,73,11,Non-Veg,Weight Loss
144,Chicken Breast,Breakfast,323,23,60,28,Non-Veg,Weight Loss
145,Banana,Breakfast,533,44,40,22,Vegan,Maintenance
146,Sweet Potato,Lunch,253,33,12,6,Veg,Maintenance
147,Sweet Potato,Breakfast,370,47,37,22,Vegan,Muscle Gain
148,Milk,Breakfast,454,12,84,29,Vegan,Muscle Gain
149,Chapati,Lunch,314,25,64,4,Non-Veg,Muscle Gain
150,Chapati,Lunch,171,11,58,9,Vegan,Maintenance
151,Tofu,Dinner,170,10,46,2,Non-Veg,Muscle Gain
152,Almonds,Lunch,376,10,38,23,Vegan,Weight Loss
153,Chicken Breast,Dinner,620,45,39,30,Non-Veg,Weight Loss
154,Boiled Chickpeas,Breakfast,143,44,27,15,Vegan,Muscle Gain
155,Tofu,Dinner,350,41,37,11,Veg,Muscle Gain
156,Milk,Dinner,208,27,63,6,Non-Veg,Muscle Gain
157,Milk,Breakfast,356,29,70,11,Non-Veg,Maintenance
158,Chapati,Snack,472,30,18,12,Veg,Maintenance
159,Oats,Dinner,213,37,68,3,Non-Veg,Maintenance
160,Chicken Breast,Breakfast,219,20,23,15,Veg,Maintenance
161,Quinoa,Dinner,146,20,52,4,Veg,Muscle Gain
162,Banana,Dinner,112,21,55,28,Vegan,Weight Loss
163,Banana,Dinner,491,26,42,19,Veg,Muscle Gain
164,Apple,Snack,81,8,78,31,Veg,Weight Loss
165,Apple,Snack,480,17,27,27,Veg,Weight Loss
166,Banana,Dinner,379,16,81,13,Vegan,Muscle Gain
167,Peanut Butter,Snack,463,9,56,18,Non-Veg,Maintenance
168,Salmon,Dinner,343,49,74,3,Veg,Maintenance
169,Brown Rice,Breakfast,162,9,88,18,Non-Veg,Maintenance
170,Tofu,Lunch,541,34,90,27,Vegan,Maintenance
171,Almonds,Snack,464,23,27,3,Vegan,Weight Loss
172,Dal,Lunch,468,23,76,15,Veg,Maintenance
173,Egg,Dinner,234,47,68,28,Vegan,Muscle Gain
174,Greek Yogurt,Lunch,351,17,52,34,Vegan,Weight Loss
175,Milk,Dinner,259,6,33,12,Vegan,Maintenance
176,Banana,Snack,164,15,64,18,Vegan,Weight Loss
177,Egg,Snack,83,21,27,18,Vegan,Maintenance
178,Oats,Lunch,249,21,20,19,Non-Veg,Weight Loss
179,Brown Rice,Lunch,400,10,10,2,Vegan,Maintenance
180,Milk,Breakfast,635,20,62,20,Veg,Muscle Gain
181,Sweet Potato,Lunch,441,48,24,15,Vegan,Maintenance
182,Apple,Breakfast,249,8,90,4,Non-Veg,Muscle Gain
183,Chicken Breast,Snack,461,6,73,12,Vegan,Maintenance
184,Quinoa,Breakfast,468,46,50,4,Veg,Maintenance
185,White Rice,Snack,83,33,66,17,Non-Veg,Muscle Gain
186,White Rice,Breakfast,580,24,57,7,Veg,Muscle Gain
187,Oats,Dinner,460,27,28,4,Non-Veg,Weight Loss
188,Boiled Chickpeas,Lunch,531,37,71,18,Vegan,Weight Loss
189,Egg,Lunch,178,25,63,32,Vegan,Muscle Gain
190,Salmon,Snack,481,29,25,9,Veg,Weight Loss
191,Paneer,Lunch,292,26,20,23,Non-Veg,Muscle Gain
192,Brown Rice,Lunch,420,24,31,19,Veg,Maintenance
193,Paneer,Dinner,162,40,34,15,Non-Veg,Maintenance
194,Greek Yogurt,Dinner,521,31,71,11,Non-Veg,Weight Loss
195,Quinoa,Snack,320,12,69,31,Non-Veg,Weight Loss
196,Peanut Butter,Breakfast,636,15,85,26,Non-Veg,Maintenance
197,Peanut Butter,Breakfast,249,20,83,32,Vegan,Weight Loss
198,Greek Yogurt,Snack,635,47,41,15,Veg,Muscle Gain
199,Milk,Dinner,389,11,79,14,Non-Veg,Weight Loss
200,Almonds,Breakfast,394,49,15,5,Non-Veg,Weight Loss
201,Chicken Breast,Lunch,124,7,54,6,Non-Veg,Weight Loss
202,Apple,Breakfast,428,34,28,30,Non-Veg,Muscle Gain
203,Paneer,Lunch,118,36,22,27,Vegan,Muscle Gain
204,Dal,Snack,310,38,54,16,Veg,Weight Loss
205,Boiled Chickpeas,Snack,327,6,54,24,Veg,Maintenance
206,Milk,Breakfast,578,32,76,6,Non-Veg,Weight Loss
207,Egg,Snack,334,12,39,16,Vegan,Maintenance
208,Almonds,Lunch,183,22,11,18,Non-Veg,Weight Loss
209,Peanut Butter,Breakfast,354,11,49,20,Veg,Maintenance
210,Salmon,Lunch,218,30,16,18,Vegan,Muscle Gain
211,Banana,Lunch,159,22,40,27,Veg,Muscle Gain
212,Chicken Breast,Breakfast,461,40,19,27,Veg,Maintenance
213,Broccoli,Dinner,439,42,42,35,Veg,Muscle Gain
214,Quinoa,Breakfast,143,6,57,10,Vegan,Weight Loss
215,Apple,Breakfast,625,11,66,33,Vegan,Muscle Gain
216,Apple,Snack,118,34,42,17,Non-Veg,Weight Loss
217,Banana,Lunch,377,44,14,23,Vegan,Maintenance
218,Sweet Potato,Dinner,424,45,19,33,Veg,Muscle Gain
219,Paneer,Snack,356,44,33,13,Veg,Maintenance
220,Brown Rice,Dinner,505,19,60,18,Veg,Weight Loss
221,Brown Rice,Lunch,442,38,72,11,Non-Veg,Weight Loss
222,White Rice,Snack,590,30,26,11,Vegan,Muscle Gain
223,Greek Yogurt,Snack,105,46,74,20,Non-Veg,Maintenance
224,Apple,Lunch,103,6,58,15,Veg,Weight Loss
225,Brown Rice,Lunch,160,28,65,32,Veg,Weight Loss
226,Chicken Breast,Breakfast,447,18,31,2,Vegan,Maintenance
227,Egg,Breakfast,520,20,68,32,Non-Veg,Maintenance
228,Oats,Dinner,567,8,42,15,Vegan,Weight Loss
229,Oats,Snack,261,26,13,11,Vegan,Maintenance
230,Chapati,Lunch,409,39,68,24,Non-Veg,Weight Loss
231,Greek Yogurt,Snack,419,15,77,17,Veg,Maintenance
232,Greek Yogurt,Lunch,636,45,76,25,Non-Veg,Maintenance
233,Apple,Breakfast,625,20,19,32,Vegan,Weight Loss
234,Salmon,Lunch,512,5,84,11,Vegan,Weight Loss
235,White Rice,Snack,332,45,20,29,Veg,Muscle Gain
236,Sweet Potato,Dinner,529,32,83,28,Non-Veg,Muscle Gain
237,Egg,Breakfast,116,23,19,23,Non-Veg,Muscle Gain
238,Tofu,Lunch,221,13,44,7,Veg,Maintenance
239,Banana,Dinner,108,35,88,25,Veg,Muscle Gain
240,Peanut Butter,Snack,86,16,38,29,Vegan,Maintenance
241,Quinoa,Snack,421,9,31,24,Vegan,Maintenance
242,Quinoa,Breakfast,353,24,71,8,Non-Veg,Maintenance
243,Banana,Snack,369,43,14,34,Vegan,Weight Loss
244,Egg,Snack,527,9,55,17,Veg,Muscle Gain
245,Greek Yogurt,Dinner,207,12,70,20,Non-Veg,Weight Loss
246,Chicken Breast,Snack,391,22,26,17,Vegan,Weight Loss
247,Greek Yogurt,Lunch,481,44,78,15,Vegan,Muscle Gain
248,Brown Rice,Lunch,137,15,45,30,Non-Veg,Weight Loss
249,Paneer,Snack,416,18,43,11,Vegan,Muscle Gain
250,Brown Rice,Lunch,632,13,90,24,Vegan,Weight Loss
251,Greek Yogurt,Dinner,215,10,68,17,Non-Veg,Muscle Gain
252,Brown Rice,Dinner,221,24,44,20,Veg,Muscle Gain
253,Peanut Butter,Dinner,419,34,18,20,Non-Veg,Muscle Gain
254,Quinoa,Lunch,464,45,39,18,Veg,Muscle Gain
255,Chapati,Breakfast,374,49,11,31,Veg,Muscle Gain
256,Oats,Dinner,308,33,83,31,Non-Veg,Weight Loss
257,Chicken Breast,Dinner,270,48,46,33,Vegan,Maintenance
258,Egg,Lunch,246,7,85,32,Non-Veg,Weight Loss
259,Quinoa,Snack,462,29,90,21,Veg,Muscle Gain
260,Oats,Lunch,438,19,69,33,Veg,Weight Loss
261,Broccoli,Lunch,438,50,90,7,Veg,Muscle Gain
262,Chicken Breast,Snack,252,42,36,2,Non-Veg,Weight Loss
263,Banana,Breakfast,512,7,68,13,Vegan,Weight Loss
264,Chicken Breast,Breakfast,276,10,19,35,Veg,Weight Loss
265,Brown Rice,Lunch,236,23,23,20,Vegan,Muscle Gain
266,Dal,Lunch,519,11,68,23,Veg,Maintenance
267,Chicken Breast,Lunch,157,29,40,9,Non-Veg,Muscle Gain
268,Egg,Snack,572,48,27,9,Non-Veg,Maintenance
269,Chicken Breast,Lunch,309,24,54,11,Non-Veg,Muscle Gain
270,Apple,Dinner,104,6,50,4,Veg,Weight Loss
271,Peanut Butter,Lunch,213,32,15,11,Vegan,Muscle Gain
272,Peanut Butter,Dinner,185,29,53,25,Non-Veg,Weight Loss
273,Milk,Dinner,270,45,70,19,Veg,Weight Loss
274,Greek Yogurt,Dinner,285,14,73,12,Veg,Maintenance
275,Paneer,Dinner,330,16,83,31,Non-Veg,Weight Loss
276,Milk,Snack,422,50,83,30,Vegan,Maintenance
277,Dal,Lunch,531,14,22,20,Veg,Muscle Gain
278,Broccoli,Lunch,524,15,21,30,Non-Veg,Weight Loss
279,Oats,Snack,582,22,14,3,Vegan,Muscle Gain
280,Boiled Chickpeas,Lunch,480,18,77,20,Non-Veg,Muscle Gain
281,Dal,Breakfast,418,6,59,35,Vegan,Muscle Gain
282,Boiled Chickpeas,Lunch,214,50,77,14,Vegan,Muscle Gain
283,Sweet Potato,Dinner,362,6,39,20,Non-Veg,Maintenance
284,Apple,Snack,623,27,35,35,Non-Veg,Maintenance
285,Boiled Chickpeas,Dinner,623,40,29,6,Vegan,Maintenance
286,Oats,Lunch,509,49,67,35,Veg,Maintenance
287,Dal,Snack,252,17,38,11,Veg,Muscle Gain
288,Quinoa,Dinner,345,48,12,2,Non-Veg,Weight Loss
289,Brown Rice,Snack,625,11,62,7,Non-Veg,Muscle Gain
290,Chapati,Snack,124,25,74,21,Non-Veg,Weight Loss
291,Salmon,Snack,176,26,28,13,Non-Veg,Maintenance
292,Apple,Snack,621,34,83,18,Veg,Weight Loss
293,Almonds,Dinner,302,29,84,6,Non-Veg,Weight Loss
294,White Rice,Breakfast,243,36,87,33,Veg,Muscle Gain
295,Dal,Lunch,520,25,55,17,Vegan,Maintenance
296,Broccoli,Breakfast,106,5,66,15,Vegan,Weight Loss
297,Banana,Dinner,504,42,84,24,Non-Veg,Maintenance
298,Quinoa,Lunch,443,24,67,33,Veg,Muscle Gain
299,Apple,Snack,499,50,17,8,Vegan,Maintenance
300,Brown Rice,Dinner,559,17,76,7,Non-Veg,Weight Loss
301,Egg,Breakfast,570,36,15,19,Non-Veg,Weight Loss
302,Tofu,Dinner,600,10,18,7,Non-Veg,Muscle Gain
303,Tofu,Snack,382,16,70,15,Non-Veg,Weight Loss
304,Almonds,Snack,196,40,16,6,Vegan,Weight Loss
305,Sweet Potato,Dinner,410,40,28,4,Non-Veg,Muscle Gain
306,Chicken Breast,Snack,454,25,73,31,Non-Veg,Maintenance
307,Quinoa,Breakfast,541,19,13,25,Non-Veg,Muscle Gain
308,Dal,Dinner,633,29,35,27,Non-Veg,Muscle Gain
309,Chapati,Snack,127,27,43,18,Non-Veg,Maintenance
310,Peanut Butter,Breakfast,258,36,60,29,Veg,Muscle Gain
311,Milk,Dinner,613,36,17,33,Veg,Maintenance
312,Sweet Potato,Dinner,105,6,75,32,Vegan,Maintenance
313,Banana,Breakfast,490,7,11,25,Non-Veg,Weight Loss
314,Brown Rice,Breakfast,475,38,62,20,Non-Veg,Maintenance
315,Chicken Breast,Snack,511,5,38,16,Veg,Weight Loss
316,Broccoli,Breakfast,186,8,64,4,Veg,Muscle Gain
317,Paneer,Lunch,637,30,45,7,Veg,Muscle Gain
318,Sweet Potato,Breakfast,133,33,43,27,Veg,Muscle Gain
319,Chapati,Lunch,125,35,47,26,Veg,Weight Loss
320,White Rice,Snack,426,10,83,13,Vegan,Maintenance
321,Brown Rice,Dinner,633,9,56,14,Non-Veg,Maintenance
322,Chicken Breast,Breakfast,492,29,65,27,Veg,Muscle Gain
323,Broccoli,Breakfast,128,21,42,6,Non-Veg,Maintenance
324,Milk,Snack,252,30,55,8,Vegan,Muscle Gain
325,Chapati,Breakfast,557,35,17,3,Veg,Weight Loss
326,Milk,Breakfast,522,37,63,16,Non-Veg,Maintenance
327,Peanut Butter,Snack,320,38,67,20,Veg,Weight Loss
328,Oats,Breakfast,159,47,75,29,Vegan,Maintenance
329,Banana,Breakfast,303,45,40,2,Non-Veg,Muscle Gain
330,Brown Rice,Dinner,219,27,62,27,Veg,Muscle Gain
331,Peanut Butter,Breakfast,137,32,83,18,Non-Veg,Maintenance
332,Oats,Snack,612,43,19,25,Veg,Weight Loss
333,Boiled Chickpeas,Dinner,121,34,26,5,Veg,Muscle Gain
334,Salmon,Breakfast,492,39,45,6,Vegan,Weight Loss
335,Almonds,Lunch,278,10,32,18,Vegan,Muscle Gain
336,Chapati,Snack,458,23,26,35,Vegan,Weight Loss
337,Broccoli,Dinner,491,46,56,22,Vegan,Weight Loss
338,Broccoli,Snack,243,43,29,35,Non-Veg,Muscle Gain
339,Chapati,Dinner,509,50,50,6,Non-Veg,Maintenance
340,Peanut Butter,Snack,260,42,13,28,Veg,Maintenance
341,Sweet Potato,Lunch,229,10,77,28,Vegan,Maintenance
342,Banana,Breakfast,625,24,25,6,Veg,Weight Loss
343,Almonds,Snack,398,42,82,5,Vegan,Weight Loss
344,Salmon,Lunch,99,9,40,23,Non-Veg,Muscle Gain
345,Paneer,Lunch,585,18,70,30,Non-Veg,Maintenance
346,Brown Rice,Lunch,302,15,24,2,Vegan,Maintenance
347,Sweet Potato,Lunch,209,5,26,21,Vegan,Maintenance
348,Chapati,Lunch,263,49,70,22,Vegan,Weight Loss
349,Apple,Dinner,342,12,34,4,Non-Veg,Weight Loss
350,Egg,Breakfast,558,30,56,5,Veg,Muscle Gain
351,Milk,Dinner,205,25,20,23,Vegan,Maintenance
352,Salmon,Lunch,609,28,74,35,Non-Veg,Weight Loss
353,Almonds,Dinner,592,38,85,29,Non-Veg,Maintenance
354,Apple,Dinner,220,24,22,24,Veg,Maintenance
355,Banana,Snack,634,29,42,2,Veg,Maintenance
356,Chicken Breast,Snack,547,25,87,8,Non-Veg,Maintenance
357,Apple,Lunch,296,16,78,16,Non-Veg,Maintenance
358,Banana,Dinner,529,11,78,19,Vegan,Weight Loss
359,Brown Rice,Dinner,276,9,49,11,Veg,Weight Loss
360,Brown Rice,Lunch,99,5,27,30,Non-Veg,Muscle Gain
361,Tofu,Breakfast,507,32,28,10,Non-Veg,Maintenance
362,Chicken Breast,Lunch,491,30,23,23,Veg,Muscle Gain
363,Chapati,Lunch,385,26,34,12,Vegan,Weight Loss
364,Apple,Lunch,537,47,75,34,Veg,Weight Loss
365,Dal,Lunch,160,28,54,8,Veg,Weight Loss
366,Dal,Breakfast,103,44,44,25,Veg,Weight Loss
367,Milk,Breakfast,524,19,29,18,Vegan,Muscle Gain
368,Egg,Snack,469,25,25,31,Vegan,Weight Loss
369,Brown Rice,Lunch,386,17,84,17,Vegan,Weight Loss
370,White Rice,Breakfast,601,48,32,27,Non-Veg,Maintenance
371,Dal,Breakfast,556,37,29,28,Vegan,Muscle Gain
372,Peanut Butter,Lunch,142,17,34,26,Vegan,Maintenance
373,Peanut Butter,Breakfast,111,28,72,23,Non-Veg,Muscle Gain
374,Chicken Breast,Lunch,184,31,62,10,Non-Veg,Weight Loss
375,Oats,Dinner,375,30,17,4,Veg,Weight Loss
376,Paneer,Breakfast,557,17,22,34,Non-Veg,Maintenance
377,Quinoa,Dinner,288,20,37,23,Vegan,Muscle Gain
378,Sweet Potato,Lunch,524,5,81,16,Vegan,Muscle Gain
379,Paneer,Dinner,623,35,22,5,Non-Veg,Muscle Gain
380,Almonds,Lunch,325,34,48,10,Non-Veg,Maintenance
381,Paneer,Lunch,345,5,59,29,Veg,Weight Loss
382,Quinoa,Lunch,561,31,11,8,Vegan,Weight Loss
383,Greek Yogurt,Dinner,100,27,20,14,Vegan,Weight Loss
384,Quinoa,Dinner,526,49,33,27,Veg,Muscle Gain
385,Dal,Lunch,395,41,70,11,Vegan,Muscle Gain
386,Salmon,Dinner,596,15,68,25,Veg,Muscle Gain
387,Peanut Butter,Lunch,256,34,16,20,Non-Veg,Weight Loss
388,Chicken Breast,Lunch,257,37,86,26,Vegan,Maintenance
389,Peanut Butter,Breakfast,525,42,87,17,Vegan,Maintenance
390,Banana,Lunch,111,15,70,12,Vegan,Muscle Gain
391,Peanut Butter,Lunch,631,20,27,7,Veg,Muscle Gain
392,Salmon,Snack,137,43,88,13,Veg,Muscle Gain
393,Tofu,Breakfast,580,22,66,14,Vegan,Muscle Gain
394,Sweet Potato,Dinner,316,34,63,23,Vegan,Muscle Gain
395,Chicken Breast,Breakfast,237,10,79,21,Non-Veg,Muscle Gain
396,Chicken Breast,Lunch,120,11,43,22,Veg,Muscle Gain
397,Egg,Breakfast,365,47,13,15,Non-Veg,Muscle Gain
398,Apple,Lunch,548,49,50,21,Non-Veg,Weight Loss
399,Greek Yogurt,Breakfast,568,44,31,6,Veg,Maintenance
400,Almonds,Dinner,568,28,37,10,Veg,Maintenance
401,Sweet Potato,Snack,583,5,90,2,Veg,Muscle Gain
402,Greek Yogurt,Dinner,300,43,90,17,Veg,Muscle Gain
403,Milk,Dinner,192,7,62,31,Non-Veg,Weight Loss
404,Salmon,Lunch,348,47,60,17,Veg,Weight Loss
405,Peanut Butter,Snack,248,35,21,11,Non-Veg,Maintenance
406,Egg,Dinner,548,21,82,35,Non-Veg,Maintenance
407,Chicken Breast,Breakfast,123,40,57,14,Non-Veg,Weight Loss
408,Broccoli,Snack,231,37,48,14,Veg,Maintenance
409,Oats,Dinner,488,29,49,9,Vegan,Muscle Gain
410,Milk,Lunch,146,45,81,26,Non-Veg,Muscle Gain
411,Apple,Snack,217,30,43,16,Non-Veg,Maintenance
412,Quinoa,Lunch,86,30,43,35,Veg,Maintenance
413,Boiled Chickpeas,Lunch,165,23,12,6,Non-Veg,Maintenance
414,Boiled Chickpeas,Breakfast,91,22,83,29,Vegan,Weight Loss
415,Dal,Dinner,431,47,78,29,Non-Veg,Muscle Gain
416,Greek Yogurt,Breakfast,347,40,65,2,Vegan,Muscle Gain
417,Salmon,Dinner,456,25,42,28,Vegan,Weight Loss
